year	month	day	hour	minute	econd	Hs_S1(m)
2023	6	1	22	0	0	0.081187212
2023	6	1	22	10	0	0.11789319
2023	6	1	22	20	0	0.129111562
2023	6	1	22	30	0	0.117822643
2023	6	1	22	40	0	0.125735988
2023	6	1	22	50	0	0.117038831
2023	6	1	23	0	0	0.109401245
2023	6	1	23	10	0	0.101784658
2023	6	1	23	20	0	0.108222688
2023	6	1	23	30	0	0.102446038
2023	6	1	23	40	0	0.098025936
2023	6	1	23	50	0	0.079517588
2023	6	2	10	50	0	0.030925029
2023	6	2	11	0	0	0.06766029
2023	6	2	11	10	0	0.067474151
2023	6	2	11	20	0	0.06138644
2023	6	2	11	30	0	0.053947403
2023	6	2	11	40	0	0.024181108
2023	6	2	11	50	0	0.008874325
2023	6	2	22	30	0	0.003430461
2023	6	2	22	40	0	0.109075206
2023	6	2	22	50	0	0.110413923
2023	6	2	23	0	0	0.126567513
2023	6	2	23	10	0	0.126094307
2023	6	2	23	20	0	0.123357662
2023	6	2	23	30	0	0.128970254
2023	6	2	23	40	0	0.10673319
2023	6	2	23	50	0	0.108496316
2023	6	3	0	0	0	0.10263693
2023	6	3	0	10	0	0.090045274
2023	6	3	0	20	0	0.090108172
2023	6	3	0	30	0	0.095417135
2023	6	3	0	40	0	0.073422673
2023	6	3	0	50	0	0.054277519
2023	6	3	1	0	0	0.02734668
2023	6	3	11	20	0	0.022244174
2023	6	3	11	30	0	0.067816031
2023	6	3	11	40	0	0.128537142
2023	6	3	11	50	0	0.111191797
2023	6	3	12	0	0	0.13200122
2023	6	3	12	10	0	0.109985749
2023	6	3	12	20	0	0.079562525
2023	6	3	12	30	0	0.054872581
2023	6	3	12	40	0	0.019236313
2023	6	3	23	10	0	0.100004727
2023	6	3	23	20	0	0.182223068
2023	6	3	23	30	0	0.208301845
2023	6	3	23	40	0	0.210340448
2023	6	3	23	50	0	0.205774269
2023	6	4	0	0	0	0.220589463
2023	6	4	0	10	0	0.172784208
2023	6	4	0	20	0	0.187824813
2023	6	4	0	30	0	0.170823422
2023	6	4	0	40	0	0.149873783
2023	6	4	0	50	0	0.146339231
2023	6	4	1	0	0	0.140746457
2023	6	4	1	10	0	0.122572938
2023	6	4	1	20	0	0.109183035
2023	6	4	1	30	0	0.084017168
2023	6	4	1	40	0	0.063567065
2023	6	4	1	50	0	0.021888274
2023	6	4	12	20	0	0.01806289
2023	6	4	12	30	0	0.068796831
2023	6	4	12	40	0	0.073663934
2023	6	4	12	50	0	0.093051764
2023	6	4	13	0	0	0.06508322
2023	6	4	13	10	0	0.019225475
2023	6	4	23	50	0	0.151357407
2023	6	5	0	0	0	0.232553277
2023	6	5	0	10	0	0.262461402
2023	6	5	0	20	0	0.276190929
2023	6	5	0	30	0	0.274095783
2023	6	5	0	40	0	0.290486818
2023	6	5	0	50	0	0.291688642
2023	6	5	1	0	0	0.266753748
2023	6	5	1	10	0	0.270039747
2023	6	5	1	20	0	0.271440286
2023	6	5	1	30	0	0.24056345
2023	6	5	1	40	0	0.217009167
2023	6	5	1	50	0	0.199096964
2023	6	5	2	0	0	0.173543166
2023	6	5	2	10	0	0.148494423
2023	6	5	2	20	0	0.13300305
2023	6	5	2	30	0	0.081669117
2023	6	5	2	40	0	0.031502152
2023	6	5	13	10	0	0.074597769
2023	6	5	13	20	0	0.080399064
2023	6	5	13	30	0	0.094357819
2023	6	5	13	40	0	0.08007331
2023	6	5	13	50	0	0.026897076
2023	6	6	0	30	0	0.111088978
2023	6	6	0	40	0	0.204337805
2023	6	6	0	50	0	0.258870454
2023	6	6	1	0	0	0.229913244
2023	6	6	1	10	0	0.222726949
2023	6	6	1	20	0	0.193097001
2023	6	6	1	30	0	0.204438637
2023	6	6	1	40	0	0.168334954
2023	6	6	1	50	0	0.161251026
2023	6	6	2	0	0	0.163231248
2023	6	6	2	10	0	0.135913674
2023	6	6	2	20	0	0.142203737
2023	6	6	2	30	0	0.169925165
2023	6	6	2	40	0	0.139974981
2023	6	6	2	50	0	0.129451611
2023	6	6	3	0	0	0.105039987
2023	6	6	3	10	0	0.065690568
2023	6	6	3	20	0	0.017410052
2023	6	6	14	0	0	0.0352582
2023	6	6	14	10	0	0.024268859
2023	6	6	14	20	0	0.034679823
2023	6	6	14	30	0	0.017081109
2023	6	7	1	10	0	0.074658643
2023	6	7	1	20	0	0.085511889
2023	6	7	1	30	0	0.096078502
2023	6	7	1	40	0	0.091166333
2023	6	7	1	50	0	0.091260741
2023	6	7	2	0	0	0.089144742
2023	6	7	2	10	0	0.088535121
2023	6	7	2	20	0	0.073935332
2023	6	7	2	30	0	0.076404654
2023	6	7	2	40	0	0.07355665
2023	6	7	2	50	0	0.068929126
2023	6	7	3	0	0	0.069155796
2023	6	7	3	10	0	0.067745474
2023	6	7	3	20	0	0.065440388
2023	6	7	3	30	0	0.049632556
2023	6	7	3	40	0	0.050430716
2023	6	7	3	50	0	0.041576815
2023	6	7	4	0	0	0.034212639
2023	6	7	4	10	0	0.016789091
