year	month	day	hour	minute	econd	Hs_S1(m)
2023	6	1	21	50	0	0.084473942
2023	6	1	22	0	0	0.147455431
2023	6	1	22	10	0	0.149060915
2023	6	1	22	20	0	0.139645488
2023	6	1	22	30	0	0.134280834
2023	6	1	22	40	0	0.141403039
2023	6	1	22	50	0	0.127312289
2023	6	1	23	0	0	0.128600359
2023	6	1	23	10	0	0.120786293
2023	6	1	23	20	0	0.116412937
2023	6	1	23	30	0	0.141383163
2023	6	1	23	40	0	0.127229034
2023	6	1	23	50	0	0.122795918
2023	6	2	0	0	0	0.099148756
2023	6	2	0	10	0	0.064876536
2023	6	2	10	40	0	0.064884453
2023	6	2	10	50	0	0.104262221
2023	6	2	11	0	0	0.123748998
2023	6	2	11	10	0	0.111008088
2023	6	2	11	20	0	0.101360824
2023	6	2	11	30	0	0.09692306
2023	6	2	11	40	0	0.079363219
2023	6	2	11	50	0	0.068356188
2023	6	2	12	0	0	0.038170392
2023	6	2	22	40	0	0.124329413
2023	6	2	22	50	0	0.137594376
2023	6	2	23	0	0	0.128437724
2023	6	2	23	10	0	0.131160438
2023	6	2	23	20	0	0.123847769
2023	6	2	23	30	0	0.132180832
2023	6	2	23	40	0	0.111451285
2023	6	2	23	50	0	0.109982015
2023	6	3	0	0	0	0.100506953
2023	6	3	0	10	0	0.100422247
2023	6	3	0	20	0	0.104781757
2023	6	3	0	30	0	0.107736641
2023	6	3	0	40	0	0.079482232
2023	6	3	0	50	0	0.073944091
2023	6	3	1	0	0	0.065107416
2023	6	3	1	10	0	0.04391433
2023	6	3	11	10	0	0.068576466
2023	6	3	11	20	0	0.108724284
2023	6	3	11	30	0	0.153260411
2023	6	3	11	40	0	0.190203747
2023	6	3	11	50	0	0.187577825
2023	6	3	12	0	0	0.190710392
2023	6	3	12	10	0	0.175054417
2023	6	3	12	20	0	0.156071873
2023	6	3	12	30	0	0.136834409
2023	6	3	12	40	0	0.091465781
2023	6	3	12	50	0	0.032396668
2023	6	3	23	0	0	0.00915425
2023	6	3	23	10	0	0.167113484
2023	6	3	23	20	0	0.212597553
2023	6	3	23	30	0	0.241395519
2023	6	3	23	40	0	0.227672772
2023	6	3	23	50	0	0.234119575
2023	6	4	0	0	0	0.236477737
2023	6	4	0	10	0	0.194330983
2023	6	4	0	20	0	0.19115639
2023	6	4	0	30	0	0.183291026
2023	6	4	0	40	0	0.162432508
2023	6	4	0	50	0	0.166417192
2023	6	4	1	0	0	0.151126409
2023	6	4	1	10	0	0.154861901
2023	6	4	1	20	0	0.121757561
2023	6	4	1	30	0	0.099805858
2023	6	4	1	40	0	0.098280033
2023	6	4	1	50	0	0.064281002
2023	6	4	2	0	0	0.036093792
2023	6	4	12	10	0	0.073670007
2023	6	4	12	20	0	0.099684736
2023	6	4	12	30	0	0.148670769
2023	6	4	12	40	0	0.144353654
2023	6	4	12	50	0	0.173780585
2023	6	4	13	0	0	0.144952786
2023	6	4	13	10	0	0.096123693
2023	6	4	13	20	0	0.066821439
2023	6	4	13	30	0	0.056202752
2023	6	4	13	40	0	0.002358237
2023	6	4	23	40	0	0.102369083
2023	6	4	23	50	0	0.199721476
2023	6	5	0	0	0	0.284198869
2023	6	5	0	10	0	0.288657064
2023	6	5	0	20	0	0.260584711
2023	6	5	0	30	0	0.258991843
2023	6	5	0	40	0	0.319701446
2023	6	5	0	50	0	0.331475415
2023	6	5	1	0	0	0.262174707
2023	6	5	1	10	0	0.252855661
2023	6	5	1	20	0	0.274180843
2023	6	5	1	30	0	0.229006282
2023	6	5	1	40	0	0.21799448
2023	6	5	1	50	0	0.226559626
2023	6	5	2	0	0	0.188055785
2023	6	5	2	10	0	0.165967547
2023	6	5	2	20	0	0.145818801
2023	6	5	2	30	0	0.11393755
2023	6	5	2	40	0	0.084780959
2023	6	5	2	50	0	0.024041971
2023	6	5	12	50	0	0.046931925
2023	6	5	13	0	0	0.078151164
2023	6	5	13	10	0	0.136286211
2023	6	5	13	20	0	0.140875108
2023	6	5	13	30	0	0.154000891
2023	6	5	13	40	0	0.144156719
2023	6	5	13	50	0	0.097494214
2023	6	5	14	0	0	0.062262098
2023	6	5	14	10	0	0.039922635
2023	6	6	0	20	0	0.081138903
2023	6	6	0	30	0	0.172561955
2023	6	6	0	40	0	0.253750767
2023	6	6	0	50	0	0.258818868
2023	6	6	1	0	0	0.248575011
2023	6	6	1	10	0	0.235933304
2023	6	6	1	20	0	0.189187398
2023	6	6	1	30	0	0.201385851
2023	6	6	1	40	0	0.181706078
2023	6	6	1	50	0	0.181723671
2023	6	6	2	0	0	0.156611937
2023	6	6	2	10	0	0.15091979
2023	6	6	2	20	0	0.136971046
2023	6	6	2	30	0	0.175586223
2023	6	6	2	40	0	0.146346389
2023	6	6	2	50	0	0.125669016
2023	6	6	3	0	0	0.116872498
2023	6	6	3	10	0	0.114287927
2023	6	6	3	20	0	0.078025695
2023	6	6	3	30	0	0.0373105
2023	6	6	3	40	0	0.002737217
2023	6	6	13	50	0	0.06437042
2023	6	6	14	0	0	0.100306048
2023	6	6	14	10	0	0.096568509
2023	6	6	14	20	0	0.098618885
2023	6	6	14	30	0	0.080149836
2023	6	6	14	40	0	0.045438678
2023	6	7	1	10	0	0.090387287
2023	6	7	1	20	0	0.097583235
2023	6	7	1	30	0	0.094410903
2023	6	7	1	40	0	0.095471515
2023	6	7	1	50	0	0.099074112
2023	6	7	2	0	0	0.084320856
2023	6	7	2	10	0	0.090134091
2023	6	7	2	20	0	0.072537817
2023	6	7	2	30	0	0.073840912
2023	6	7	2	40	0	0.07229391
2023	6	7	2	50	0	0.06953343
2023	6	7	3	0	0	0.068227474
2023	6	7	3	10	0	0.07016293
2023	6	7	3	20	0	0.062377227
2023	6	7	3	30	0	0.0502607
2023	6	7	3	40	0	0.055310428
2023	6	7	3	50	0	0.041584553
2023	6	7	4	0	0	0.037653302
2023	6	7	4	10	0	0.034583564
2023	6	7	4	20	0	0.002944904
