year	month	day	hour	minute	econd	Hs_S3(m)
2023	6	1	22	10	0	0.04458481
2023	6	1	22	20	0	0.062998984
2023	6	1	22	30	0	0.067990876
2023	6	1	22	40	0	0.081127048
2023	6	1	22	50	0	0.079842819
2023	6	1	23	0	0	0.07252359
2023	6	1	23	10	0	0.069968584
2023	6	1	23	20	0	0.0627196
2023	6	1	23	30	0	0.055799804
2023	6	1	23	40	0	0.041330661
2023	6	1	23	50	0	0.028515293
2023	6	2	11	0	0	0.019257195
2023	6	2	11	10	0	0.018196223
2023	6	2	11	20	0	0.023613766
2023	6	2	11	30	0	0.020159602

2023	6	2	22	30	0	0.033407446
2023	6	2	22	40	0	0.050734767
2023	6	2	22	50	0	0.07297772
2023	6	2	23	0	0	0.087608819
2023	6	2	23	10	0	0.099816815
2023	6	2	23	20	0	0.095236058
2023	6	2	23	30	0	0.102581282
2023	6	2	23	40	0	0.09393451
2023	6	2	23	50	0	0.085889866
2023	6	3	0	0	0	0.082399743
2023	6	3	0	10	0	0.074388587
2023	6	3	0	20	0	0.063036582
2023	6	3	0	30	0	0.05865631
2023	6	3	0	40	0	0.041949319
2023	6	3	0	50	0	0.02891634
2023	6	3	1	0	0	0.016629223
2023	6	3	11	30	0	0.026316596
2023	6	3	11	40	0	0.04426164
2023	6	3	11	50	0	0.040482418
2023	6	3	12	0	0	0.050385152
2023	6	3	12	10	0	0.041028203
2023	6	3	12	20	0	0.028636368
2023	6	3	12	30	0	0.003648363
2023	6	3	23	10	0	0.035153354
2023	6	3	23	20	0	0.067028497
2023	6	3	23	30	0	0.115247168
2023	6	3	23	40	0	0.148797347
2023	6	3	23	50	0	0.175134216
2023	6	4	0	0	0	0.171041524
2023	6	4	0	10	0	0.160092473
2023	6	4	0	20	0	0.149956059
2023	6	4	0	30	0	0.14451594
2023	6	4	0	40	0	0.13663234
2023	6	4	0	50	0	0.119364748
2023	6	4	1	0	0	0.103367678
2023	6	4	1	10	0	0.087541075
2023	6	4	1	20	0	0.084689918
2023	6	4	1	30	0	0.04589447
2023	6	4	1	40	0	0.03276819
2023	6	4	12	30	0	0.023380856
2023	6	4	12	40	0	0.022331057
2023	6	4	12	50	0	0.034048994
2023	6	4	13	0	0	0.024701843
2023	6	4	23	50	0	0.052852573
2023	6	5	0	0	0	0.119840822
2023	6	5	0	10	0	0.192362725
2023	6	5	0	20	0	0.22843248
2023	6	5	0	30	0	0.253958528
2023	6	5	0	40	0	0.276110966
2023	6	5	0	50	0	0.266361255
2023	6	5	1	0	0	0.276596513
2023	6	5	1	10	0	0.241841282
2023	6	5	1	20	0	0.232130183
2023	6	5	1	30	0	0.193168973
2023	6	5	1	40	0	0.186972904
2023	6	5	1	50	0	0.166501941
2023	6	5	2	0	0	0.140605837
2023	6	5	2	10	0	0.097575077
2023	6	5	2	20	0	0.070877088
2023	6	5	2	30	0	0.040700416
2023	6	5	2	40	0	0.020367856
2023	6	5	13	10	0	0.024403226
2023	6	5	13	20	0	0.025402953
2023	6	5	13	30	0	0.029292065
2023	6	5	13	40	0	0.028298099
2023	6	6	0	30	0	0.037226107
2023	6	6	0	40	0	0.098819665
2023	6	6	0	50	0	0.180691543
2023	6	6	1	0	0	0.179278498
2023	6	6	1	10	0	0.192550426
2023	6	6	1	20	0	0.173542686
2023	6	6	1	30	0	0.179202135
2023	6	6	1	40	0	0.164447316
2023	6	6	1	50	0	0.14827939
2023	6	6	2	0	0	0.136598238
2023	6	6	2	10	0	0.127967488
2023	6	6	2	20	0	0.103571788
2023	6	6	2	30	0	0.116478023
2023	6	6	2	40	0	0.103986965
2023	6	6	2	50	0	0.069985258
2023	6	6	3	0	0	0.050056843
2023	6	6	3	10	0	0.027461112
2023	6	6	13	40	0	0.000474872
2023	6	6	13	50	0	0.000419338
2023	6	6	14	0	0	0.000387711
2023	6	6	14	10	0	0.000406356
2023	6	6	14	20	0	0.000342373
2023	6	6	14	30	0	0.00038336
2023	6	6	14	40	0	0.000336803
2023	6	6	14	50	0	0.000337241
2023	6	6	15	0	0	0.000378324
2023	6	7	1	10	0	0.033456984
2023	6	7	1	20	0	0.05013508
2023	6	7	1	30	0	0.068177673
2023	6	7	1	40	0	0.082802226
2023	6	7	1	50	0	0.085348538
2023	6	7	2	0	0	0.082682991
2023	6	7	2	10	0	0.079245396
2023	6	7	2	20	0	0.075461259
2023	6	7	2	30	0	0.069857001
2023	6	7	2	40	0	0.0660676
2023	6	7	2	50	0	0.066684804
2023	6	7	3	0	0	0.062109174
2023	6	7	3	10	0	0.055011125
2023	6	7	3	20	0	0.054354429
2023	6	7	3	30	0	0.042821527
2023	6	7	3	40	0	0.037678474
2023	6	7	3	50	0	0.031094911
2023	6	7	4	0	0	0.02224162
