year	month	day	hour	minute	econd	Hs_S4(m)
2023	6	1	21	50	0	0.039913688
2023	6	1	22	0	0	0.111343897
2023	6	1	22	10	0	0.127091026
2023	6	1	22	20	0	0.123602104
2023	6	1	22	30	0	0.132433413
2023	6	1	22	40	0	0.123597691
2023	6	1	22	50	0	0.124863141
2023	6	1	23	0	0	0.113280615
2023	6	1	23	10	0	0.122017137
2023	6	1	23	20	0	0.104358749
2023	6	1	23	30	0	0.120700845
2023	6	1	23	40	0	0.105420732
2023	6	1	23	50	0	0.106741233
2023	6	2	0	0	0	0.072835923
2023	6	2	0	10	0	0.057985738
2023	6	2	10	40	0	0.038317652
2023	6	2	10	50	0	0.060615144
2023	6	2	11	0	0	0.09531775
2023	6	2	11	10	0	0.088026489
2023	6	2	11	20	0	0.084311185
2023	6	2	11	30	0	0.077230276
2023	6	2	11	40	0	0.059970619
2023	6	2	11	50	0	0.047535916
2023	6	2	12	0	0	0.023498567
2023	6	2	22	30	0	0.010001446
2023	6	2	22	40	0	0.115665776
2023	6	2	22	50	0	0.125081079
2023	6	2	23	0	0	0.12846393
2023	6	2	23	10	0	0.131238732
2023	6	2	23	20	0	0.124212931
2023	6	2	23	30	0	0.112305227
2023	6	2	23	40	0	0.100121736
2023	6	2	23	50	0	0.098801417
2023	6	3	0	0	0	0.099505389
2023	6	3	0	10	0	0.100454694
2023	6	3	0	20	0	0.083131008
2023	6	3	0	30	0	0.106015922
2023	6	3	0	40	0	0.07319204
2023	6	3	0	50	0	0.065749181
2023	6	3	1	0	0	0.052540514
2023	6	3	1	10	0	0.021635788
2023	6	3	11	10	0	0.022856686
2023	6	3	11	20	0	0.061690406
2023	6	3	11	30	0	0.103323926
2023	6	3	11	40	0	0.163942948
2023	6	3	11	50	0	0.148590589
2023	6	3	12	0	0	0.165894656
2023	6	3	12	10	0	0.164698525
2023	6	3	12	20	0	0.140217672
2023	6	3	12	30	0	0.108470277
2023	6	3	12	40	0	0.08573096
2023	6	3	12	50	0	0.015185018
2023	6	3	22	50	0	0.001649539
2023	6	3	23	0	0	0.011432442
2023	6	3	23	10	0	0.134452433
2023	6	3	23	20	0	0.20259724
2023	6	3	23	30	0	0.236320728
2023	6	3	23	40	0	0.221981634
2023	6	3	23	50	0	0.236242347
2023	6	4	0	0	0	0.233550511
2023	6	4	0	10	0	0.21626547
2023	6	4	0	20	0	0.226522702
2023	6	4	0	30	0	0.157102103
2023	6	4	0	40	0	0.168747063
2023	6	4	0	50	0	0.147842579
2023	6	4	1	0	0	0.144811004
2023	6	4	1	10	0	0.1317956
2023	6	4	1	20	0	0.13439579
2023	6	4	1	30	0	0.083759176
2023	6	4	1	40	0	0.093809932
2023	6	4	1	50	0	0.057318689
2023	6	4	2	0	0	0.01023057
2023	6	4	12	10	0	0.022360794
2023	6	4	12	20	0	0.068112909
2023	6	4	12	30	0	0.124098358
2023	6	4	12	40	0	0.13173139
2023	6	4	12	50	0	0.138988349
2023	6	4	13	0	0	0.117805498
2023	6	4	13	10	0	0.086365605
2023	6	4	13	20	0	0.04770607
2023	6	4	13	30	0	0.023507478
2023	6	4	23	40	0	0.056460746
2023	6	4	23	50	0	0.167572039
2023	6	5	0	0	0	0.257001203
2023	6	5	0	10	0	0.311937238
2023	6	5	0	20	0	0.298087395
2023	6	5	0	30	0	0.31556257
2023	6	5	0	40	0	0.301291702
2023	6	5	0	50	0	0.326291487
2023	6	5	1	0	0	0.34305023
2023	6	5	1	10	0	0.284869732
2023	6	5	1	20	0	0.35193081
2023	6	5	1	30	0	0.240099887
2023	6	5	1	40	0	0.205710354
2023	6	5	1	50	0	0.207317926
2023	6	5	2	0	0	0.219269895
2023	6	5	2	10	0	0.169377186
2023	6	5	2	20	0	0.150927499
2023	6	5	2	30	0	0.09857852
2023	6	5	2	40	0	0.084307327
2023	6	5	2	50	0	0.009661708
2023	6	5	13	0	0	0.052936485
2023	6	5	13	10	0	0.102926931
2023	6	5	13	20	0	0.11928537
2023	6	5	13	30	0	0.129270418
2023	6	5	13	40	0	0.138560849
2023	6	5	13	50	0	0.09251633
2023	6	5	14	0	0	0.050742115
2023	6	5	14	10	0	0.018033327
2023	6	6	0	20	0	0.038210134
2023	6	6	0	30	0	0.134790551
2023	6	6	0	40	0	0.23044329
2023	6	6	0	50	0	0.258852545
2023	6	6	1	0	0	0.236126107
2023	6	6	1	10	0	0.24399506
2023	6	6	1	20	0	0.185422852
2023	6	6	1	30	0	0.187836358
2023	6	6	1	40	0	0.16984591
2023	6	6	1	50	0	0.184970819
2023	6	6	2	0	0	0.18269679
2023	6	6	2	10	0	0.137831918
