year	month	day	hour	minute	econd	Hs_S4(m)
2023	6	6	2	20	0	0.123339716
2023	6	6	2	30	0	0.152034627
2023	6	6	2	40	0	0.143076389
2023	6	6	2	50	0	0.128205411
2023	6	6	3	0	0	0.119577364
2023	6	6	3	10	0	0.102331593
2023	6	6	3	20	0	0.066963961
2023	6	6	3	30	0	0.00820817
2023	6	6	13	50	0	0.035256302
2023	6	6	14	0	0	0.081132257
2023	6	6	14	10	0	0.083358648
2023	6	6	14	20	0	0.077541903
2023	6	6	14	30	0	0.066391875
2023	6	6	14	40	0	0.037710544
2023	6	7	1	10	0	0.080702406
2023	6	7	1	20	0	0.101141877
2023	6	7	1	30	0	0.112457859
2023	6	7	1	40	0	0.101632005
2023	6	7	1	50	0	0.096680597
2023	6	7	2	0	0	0.095179507
2023	6	7	2	10	0	0.091700901
2023	6	7	2	20	0	0.082433142
2023	6	7	2	30	0	0.074000841
2023	6	7	2	40	0	0.072894539
2023	6	7	2	50	0	0.071139706
2023	6	7	3	0	0	0.062137408
2023	6	7	3	10	0	0.067173278
2023	6	7	3	20	0	0.065920255
2023	6	7	3	30	0	0.049204779
2023	6	7	3	40	0	0.051348741
2023	6	7	3	50	0	0.044901917
2023	6	7	4	0	0	0.041686388
2023	6	7	4	10	0	0.033421204
2023	6	7	4	20	0	0.005820121
